# Solve Time (ms): 1.592
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,-4.985778899191719e-27,-8.534733163218873e-26,-1.4043333172140162e-16,-6.177670138593962e-35,-2.773043272255506e-33,-8.134796158918819e-17,8.0543521729037e-28,1.794674344225286e-27,7.730659945415173e-11,-1.5947501270023355e-34,4.923234301141437e-33,-2.7985738002014486e-17,-0.9915999999999969,1.7357707444670136,-0.9915999999999965,1.7357707444670136
1,2.4887551749528018e-17,-1.0945566757257722e-16,0.08291207055746161,-8.904784803494785e-20,-1.8230027280330413e-19,0.01577641978270057,-1.5130984859695747e-16,-2.1056609303752926e-16,1.6631506795505158,-1.8789094801605037e-17,-1.4708719738188586e-17,0.3135935517184012,-0.9915999999999934,0.5843362046353293,-0.9915999999999924,0.5843362046353293
2,1.7291846759028517e-17,-3.8927910218389136e-16,0.2971355990813461,-9.418671010912006e-19,1.225774727951334e-18,0.03825090765143496,-2.0322884439956423e-16,-7.820239400379944e-16,2.6241565768289306,-4.581010169979639e-18,-1.6712498778438292e-18,0.13714324765526859,-0.4345946624341326,0.018953537622917807,-0.4345946624341324,0.01895353762291794
3,4.1785074073050036e-19,1.6414781588242633e-16,0.5733391220392444,-7.703715942942952e-19,-1.2343852847267746e-17,0.04304392597283965,-1.2202336929446679e-16,3.2435739065099224e-15,2.900730269125858,7.673561522670077e-18,1.895283931446473e-17,-0.04011992835406843,0.753177691217179,-0.7757390037722071,0.7531776912171787,-0.7757390037722068
4,-8.235767823408669e-18,8.378816623325916e-17,0.8169330814312641,-8.026988741019439e-20,8.735081379851735e-18,0.03858572925394944,7.27204402134547e-18,7.383489757596297e-16,1.9683968685719522,6.930193795153679e-18,4.3880945692146324e-17,-0.0490094185681046,0.8331383337068085,-0.82140022825771,0.8331383337068082,-0.8214002282577099
5,-7.085244261095877e-18,1.688036099951514e-17,0.9634747960094694,2.664040043845222e-19,1.1718013034647837e-17,0.03397284276751421,6.392198115681567e-17,-1.846210391699564e-16,0.9594592535352034,1.6809214318588269e-18,-9.377274476463783e-18,-0.04330823588590576,0.5626185526096977,-0.5493377475990677,0.5626185526096978,-0.5493377475990677
6,-2.654678909154074e-18,3.072061153834014e-17,1.0256172498414828,1.9384706892669256e-19,7.179709074732175e-18,0.029958218833857662,4.9414082569278926e-17,8.487643573520235e-17,0.281388301718275,-1.4526844629843659e-18,-1.2890571150850475e-17,-0.03704475782178328,0.2743665479290782,-0.2623134887547521,0.2743665479290783,-0.2623134887547521
7,2.398322429850617e-19,5.436673189472052e-18,1.0374410068993067,-1.2807209504116568e-20,9.081940637805486e-18,0.026538903712432445,1.4133429041870307e-17,-1.392549689480256e-16,-0.045879184657243825,-1.5705083483367107e-18,-1.61557489190415e-17,-0.03139510941526673,0.08228190087179434,-0.07149361190012897,0.08228190087179439,-0.07149361190012897
8,7.928554544963489e-19,-1.3287543434548895e-17,1.0281783128465423,-1.4324589293319644e-19,6.844478635408858e-18,0.023653220584637254,-7.858024189310974e-18,-9.312572669679102e-17,-0.1396514923429203,-4.758279940684135e-19,-8.168847431906916e-18,-0.026365439757611846,-0.009712441189729455,0.019427426560542117,-0.009712441189729432,0.019427426560542117
9,2.2520750281864283e-19,-1.2080456979893799e-17,1.0150990155921757,-1.6578249576981979e-19,6.256513988728635e-18,0.021243726650543353,-1.1769592323261639e-17,-9.763287391800433e-18,-0.12188200098744159,3.254262779254147e-19,-6.553791590084791e-18,-0.02186551715008413,-0.03569313683666927,0.044528054416876836,-0.03569313683666927,0.044528054416876836
10,-3.159079189610051e-19,-9.79740603587617e-18,1.0053495397070924,-1.3850438215341503e-19,5.7387588707659344e-18,0.019261967601955365,-6.91855428327028e-18,1.1742859287713931e-17,-0.07296311856441488,4.788747992229474e-19,-2.5305475959603185e-18,-0.01780575391767337,-0.03045521771006699,0.03858770209955413,-0.03045521771006699,0.03858770209955414
11,-4.540002756494075e-19,-3.955038378554209e-18,1.0001521326125469,-1.1406868883009665e-19,4.4269848140573665e-18,0.017668045482379276,-1.8385779982930305e-18,-1.5725523247184546e-17,-0.030860746065920278,2.910689753886656e-19,-2.6536380018295897e-18,-0.01410451638561131,-0.016771634346760114,0.024365004327787366,-0.016771634346760114,0.024365004327787366
12,-3.2332900441512573e-19,-2.1380167962569265e-18,0.9983166118216206,-1.0793796164559059e-19,4.692103608384398e-18,0.016429856900524377,4.2420329275267775e-19,-1.1263216311405132e-17,-0.00577562380407905,1.0513565286958781e-19,-2.538599161454628e-18,-0.010687460723268002,-0.005356229858597568,0.012558942377676803,-0.005356229858597557,0.012558942377676808
13,-1.6144660271842772e-19,-1.3357803509094111e-18,0.9982836706770973,-1.1143960372618376e-19,3.511468702950488e-18,0.015522358302180645,3.329406709675659e-19,-9.55484807707856e-18,0.005149048224824107,4.455923492370704e-20,-2.401887896208932e-18,-0.00748765077258967,0.0009249189988575844,0.00598401412992759,0.0009249189988575844,0.00598401412992759
14,-1.1895768885057821e-19,-1.034840519450734e-18,0.9989523719915244,-1.140421166167659e-19,3.75979740574928e-18,0.014926052727869985,-8.757518019393562e-19,-5.2622528797273335e-18,0.008234084435462016,4.157471440665132e-20,-9.5160116334911e-19,-0.004460916530221713,0.0028038577552175017,0.00342748902117146,0.0028038577552175017,0.00342748902117146
15,-2.35483579827197e-19,-2.150917782444634e-18,0.9997947388255508,-1.1722400595803542e-19,3.3328043840766356e-18,0.014615634359731424,-2.0661920944912852e-18,-7.754531280679029e-18,0.00861437478139721,-5.521877751932654e-20,-2.331240523952218e-19,-0.0017663288840859953,0.0,0.0,0.0,0.0
