# Solve Time (ms): 12.656
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-99.99999999999994,5.2019250973340254e-15,0.0,8.620162806233484e-13,0.10000000000007941,0.0,0.9999999999993847,1.0000000000000242,0.0
1,-99.99999999999798,3.0000000000022085,0.0,0.05571000000352891,0.16000000000004588,0.0,0.9999999999998395,0.24216492631129036,0.0
2,-98.32869999992167,7.8000000000073655,0.0,0.11538000000409665,0.17085303557858728,0.0,0.9999999999993847,-1.0000000000000029,0.0
3,-94.86729999979548,12.925591067366184,0.0,0.17594830492252045,0.10323795557834754,0.0,1.0000000000005216,-0.9999999999999745,0.0
4,-89.58885085210295,16.022729734716393,0.0,0.23243096102230942,0.03162536745342708,0.0,0.9999999999998395,-0.9999999999999922,0.0
5,-82.61592202142793,16.971490758319966,0.0,0.2847620094170978,-0.04371507597401015,0.0,1.0000000000002942,-0.9999999999999993,0.0
6,-74.07306173891541,15.660038479099882,0.0,0.33287994049529046,-0.12250936859556406,0.0,1.00000000000001,-0.17582781849492338,0.0
7,-64.08666352406031,11.984757421233347,0.0,0.37672776574467753,-0.15502911377793566,0.0,0.9999999999999247,0.9999999999999976,0.0
8,-52.784830551713846,7.333884007895552,0.0,0.41951680657780377,-0.11989314631708671,0.0,0.06275734246916698,0.9999999999999962,0.0
9,-40.19932635438112,3.737089618382933,0.0,0.40962103142192413,-0.08758125555122075,0.0,-1.00000000000001,0.9999999999999978,0.0
10,-27.910695411723346,1.1096519518462735,0.0,0.3394629619154976,-0.054616243625068124,0.0,-1.0000000000000384,0.9999999999999978,0.0
11,-17.72680655425801,-0.5288353569058096,0.0,0.2728188151059625,-0.017020799111495462,0.0,-1.0000000000000384,0.5740793121646176,0.0
12,-9.542242101079557,-1.0394593302507689,0.0,0.20976499313071575,-0.000582082178610221,0.0,-0.9999999999999958,0.3294470644232308,0.0
13,-3.249292307157377,-1.0569217956091077,0.0,0.1486874255421221,0.005340252140151577,0.0,-1.0000000000000029,0.22172408058541082,0.0
14,1.211330459106343,-0.8967142314045755,0.0,0.08868603425113483,0.00883032688949328,0.0,-0.9999999999999993,0.11371924440942462,0.0
15,3.8719114866399704,-0.6318044247197854,0.0,0.02940074971282494,0.009800203293484352,0.0,-0.999999999999994,-0.007929124203086188,0.0
16,4.7539339780244285,-0.33779832591525705,0.0,-0.029530785708905317,0.0073840063602527576,0.0,-0.999999999999998,-0.10671191339589489,0.0
17,3.8680104067572056,-0.11627813510767547,0.0,-0.08852573787892637,0.002930323413286971,0.0,0.8261019321059899,-0.12084866884858926,0.0
18,1.212238270389422,-0.02836843270906656,0.0,-0.0383449942739939,0.001522101982380705,0.0,0.5278047770045481,-0.06507956528637364,0.0
19,0.06188844216960457,0.01729462676235457,0.0,-0.006444236175238386,0.00014809768728189638,0.0,0.14096621768287662,-0.015733846816263625,0.0
20,-0.13143864308754485,0.021737557380811616,0.0,0.0020302509844472376,-0.0003706135341281884,0.0,-0.0029270053522602747,0.0036699946359622475,0.0
21,-0.0705311135541284,0.010619151356965912,0.0,0.0018158565018269188,-0.0002844104209439663,0.0,-0.019961360682447433,0.0051353529188027285,0.0
22,-0.016055418499320916,0.0020868387286468947,0.0,0.000591722934831728,-9.613577493637921e-05,0.0,-0.00905128415673264,0.0022373011253179675,0.0
23,0.0016962695456307858,-0.0007972345194444762,0.0,4.0552489207385383e-05,-9.514211161950374e-07,0.0,-0.0016556098779668272,0.000343267525327331,0.0
24,0.0029128442218522995,-0.000825777152930328,0.0,-5.866217351077657e-05,1.6968166115757252e-05,0.0,0.00040357045573956464,-0.00018952135875073287,0.0
