# Solve Time (ms): 0.260542
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991571,1.73581,-0.991571,1.73581
1,9.33778e-17,1.22548e-18,0.0829124,6.62673e-19,5.1097e-20,0.0157779,1.41262e-15,1.08638e-17,1.66316,2.88445e-17,-1.18331e-18,0.313623,-0.991574,0.584372,-0.991574,0.584372
2,7.35446e-17,1.94357e-17,0.297137,9.00811e-18,-2.81114e-19,0.0382566,-1.84902e-15,3.85703e-16,2.62417,1.36181e-16,-6.86919e-18,0.137198,-0.434331,0.0185539,-0.434331,0.0185539
3,-3.45624e-16,-1.62091e-16,0.573322,2.12114e-17,-7.1267e-19,0.0430521,-6.52991e-15,-3.9672e-15,2.90034,3.92884e-17,2.59003e-17,-0.0401235,0.752882,-0.77546,0.752882,-0.77546
4,-3.48348e-16,-7.28129e-18,0.816894,3.18005e-18,1.16048e-17,0.0385932,6.57614e-15,6.95237e-15,1.96836,-4.0485e-16,1.99886e-16,-0.0490199,0.832913,-0.821171,0.832913,-0.821171
5,2.46812e-16,2.23062e-16,0.963445,-4.40177e-17,2.44951e-17,0.0339794,5.28096e-15,-2.29974e-15,0.959696,-4.37708e-16,1.81942e-17,-0.0433168,0.562657,-0.549373,0.562657,-0.549373
6,3.92974e-16,1.14856e-16,1.02561,-7.0062e-17,1.8077e-17,0.029964,-2.26228e-15,9.8522e-17,0.28158,-5.6034e-17,-1.26837e-16,-0.0370519,0.274507,-0.262451,0.274507,-0.262451
7,2.16427e-16,3.53093e-18,1.03744,-5.96554e-17,7.31292e-19,0.026544,-1.28674e-15,-2.33086e-15,-0.0458569,2.32334e-16,-2.02337e-16,-0.0314011,0.0823564,-0.0715661,0.0823564,-0.0715661
8,3.19631e-17,-1.11298e-16,1.02818,-2.85653e-17,-1.67589e-17,0.0236578,-2.40026e-15,2.66652e-17,-0.139719,3.58611e-16,-1.27234e-16,-0.0263705,-0.00973208,0.0194489,-0.00973208,0.0194489
9,-2.29559e-16,-1.03385e-16,1.01509,4.55146e-18,-2.40352e-17,0.0212478,-2.82753e-15,1.32735e-16,-0.121924,2.6009e-16,-1.99455e-17,-0.0218697,-0.0357446,0.0445812,-0.0357446,0.0445812
10,-3.19537e-16,1.90269e-17,1.00534,1.62195e-17,-2.20829e-17,0.0192657,1.02577e-15,2.31936e-15,-0.0729416,-4.26554e-17,3.90329e-17,-0.0178092,-0.0304786,0.0386127,-0.0304786,0.0386127
11,-1.11866e-16,9.54876e-17,1.00015,-1.09418e-18,-2.15646e-17,0.0176714,3.12751e-15,-7.89253e-16,-0.0308097,-2.68752e-16,-4.27175e-17,-0.0141072,-0.0167554,0.0243502,-0.0167554,0.0243502
12,1.83029e-16,-8.49531e-17,0.998318,-2.83564e-17,-2.83596e-17,0.016433,2.76829e-15,-2.81815e-15,-0.00574354,-2.26697e-16,-6.35113e-17,-0.0106895,-0.0053281,0.0125322,-0.0053281,0.0125322
13,1.7296e-16,-1.05908e-16,0.998287,-3.98545e-17,-2.81611e-17,0.0155253,-2.96633e-15,2.39697e-15,0.00514767,-3.20159e-18,7.28806e-17,-0.00748909,0.000931311,0.00597898,0.000931311,0.00597898
14,-7.62724e-17,7.93594e-17,0.998955,-3.60859e-17,-1.91483e-17,0.0149289,-2.01875e-15,1.30903e-15,0.00822574,3.58703e-17,7.55699e-17,-0.00446176,0.00278277,0.00344977,0.00278277,0.00344977
15,-1.96636e-16,1.75247e-16,0.999798,-3.88061e-17,-1.73296e-17,0.0146184,-3.89543e-16,6.08836e-16,0.00863248,-1.10946e-16,-5.53482e-17,-0.00176666,0,0,0,0
