# Solve Time (ms): 0.386458
k,x0,x1,x2,x3,x4,x5,x6,x7,u0,u1,u2,u3
0,1,1,-1,-1,0,0,0,0,0.68072,1.00012,-1.00012,-0.68072
1,1,1,-1,-1,-0.15964,-0.499942,0.499942,0.15964,-0.11269,1.0002,-1.0002,0.11269
2,0.92018,0.750029,-0.750029,-0.92018,-0.708003,-0.974843,0.974843,0.708003,0.84357,1.00016,-1.00016,-0.84357
3,0.566178,0.262608,-0.262608,-0.566178,-0.795983,-1.09097,1.09097,0.795983,1.00002,1.00007,-1.00007,-1.00002
4,0.168187,-0.282879,0.282879,-0.168187,-0.691047,-0.64721,0.64721,0.691047,1.00003,0.432271,-0.432271,-1.00003
5,-0.177337,-0.606484,0.606484,0.177337,-0.466106,0.109697,-0.109697,0.466106,1.00002,-1.00005,1.00005,-1.00002
6,-0.41039,-0.551635,0.551635,0.41039,-0.0686964,0.425247,-0.425247,0.0686964,0.350606,-1.00005,1.00005,-0.350606
7,-0.444738,-0.339012,0.339012,0.444738,0.244614,0.52622,-0.52622,-0.244614,-0.384718,-1.00003,1.00003,0.384718
8,-0.322431,-0.0759021,0.0759021,0.322431,0.315256,0.286045,-0.286045,-0.315256,-0.662208,-0.364976,0.364976,0.662208
9,-0.164803,0.0671203,-0.0671203,0.164803,0.252869,0.0418919,-0.0418919,-0.252869,-0.582083,0.170202,-0.170202,0.582083
10,-0.0383686,0.0880662,-0.0880662,0.0383686,0.147547,-0.0581838,0.0581838,-0.147547,-0.338015,0.27545,-0.27545,0.338015
11,0.0354051,0.0589743,-0.0589743,-0.0354051,0.0535644,-0.068833,0.068833,-0.0535644,-0.0995356,0.177593,-0.177593,0.0995356
12,0.0621873,0.0245579,-0.0245579,-0.0621873,-0.00479963,-0.0473539,0.0473539,0.00479963,0.0468711,0.0539835,-0.0539835,-0.0468711
13,0.0597875,0.000880912,-0.000880912,-0.0597875,-0.0310325,-0.0237376,0.0237376,0.0310325,0.0902765,-0.0156365,0.0156365,-0.0902765
14,0.0442713,-0.0109879,0.0109879,-0.0442713,-0.0436897,-0.00179656,0.00179656,0.0436897,0.0608448,-0.0246061,0.0246061,-0.0608448
15,0.0224264,-0.0118862,0.0118862,-0.0224264,-0.060848,0.0246077,-0.0246077,0.060848,0,0,0,0
