# Solve Time (ms): 2.14092
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100,0,0,0,0.1,0,1.01486,1.00034,-0
1,-100,3,0,0.0566014,0.16002,0,1.01255,0.2251,-0
2,-98.302,7.80061,0,0.117026,0.169791,0,1.01028,-1.00018,-0
3,-94.7912,12.8943,0,0.178143,0.102056,0,1.00808,-1.00024,-0
4,-89.4469,15.956,0,0.235041,0.0302848,0,1.00601,-1.0002,-0
5,-82.3957,16.8646,0,0.28766,-0.0452401,0,1.00411,-1.00012,-0
6,-73.7659,15.5074,0,0.335948,-0.124233,0,1.00245,-0.13647,-0
7,-63.6874,11.7804,0,0.379862,-0.154594,0,1.00107,1.00002,-0
8,-52.2915,7.14258,0,0.422788,-0.119663,0,-0.233232,1.00003,-0
9,-39.6079,3.55268,0,0.395202,-0.0875653,0,-1.00056,1.00003,-0
10,-27.7518,0.925718,0,0.325076,-0.053647,0,-1.00082,0.986738,-0
11,-17.9996,-0.683694,0,0.258464,-0.0158978,0,-1.00083,0.503061,-0
12,-10.2457,-1.16063,0,0.195405,-0.00277272,0,-1.00064,0.445126,-0
13,-4.38351,-1.24381,0,0.134067,0.0110381,0,-1.00034,0.452034,-0
14,-0.361487,-0.912665,0,0.0742979,0.0293117,0,-0.336002,-0.107663,-0
15,1.86745,-0.0333128,0,0.056033,0.0179483,0,0,0,0
