# Solve Time (ms): 0.204834
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-2,-2,-2,0,0,0,0,0,0,4.98049,4.98049,4.98049
1,-1.99917,-1.99917,-1.99917,0.0249024,0.0249024,0.0249024,0.498049,0.498049,0.498049,2.84265,2.84265,2.84265
2,-1.99372,-1.99372,-1.99372,0.0889206,0.0889206,0.0889206,0.782314,0.782314,0.782314,1.35423,1.35423,1.35423
3,-1.98069,-1.98069,-1.98069,0.173923,0.173923,0.173923,0.917737,0.917737,0.917737,0.339211,0.339211,0.339211
4,-1.95865,-1.95865,-1.95865,0.267393,0.267393,0.267393,0.951658,0.951658,0.951658,-0.332539,-0.332539,-0.332539
5,-1.92721,-1.92721,-1.92721,0.360896,0.360896,0.360896,0.918404,0.918404,0.918404,-0.757083,-0.757083,-0.757083
6,-1.88665,-1.88665,-1.88665,0.448951,0.448951,0.448951,0.842696,0.842696,0.842696,-1.00521,-1.00521,-1.00521
7,-1.83771,-1.83771,-1.83771,0.528194,0.528194,0.528194,0.742175,0.742175,0.742175,-1.12894,-1.12894,-1.12894
8,-1.78137,-1.78137,-1.78137,0.596767,0.596767,0.596767,0.629281,0.629281,0.629281,-1.16642,-1.16642,-1.16642
9,-1.71874,-1.71874,-1.71874,0.653863,0.653863,0.653863,0.512638,0.512638,0.512638,-1.1455,-1.1455,-1.1455
10,-1.65098,-1.65098,-1.65098,0.6994,0.6994,0.6994,0.398089,0.398089,0.398089,-1.08638,-1.08638,-1.08638
11,-1.57923,-1.57923,-1.57923,0.733776,0.733776,0.733776,0.289451,0.289451,0.289451,-1.00366,-1.00366,-1.00366
12,-1.50457,-1.50457,-1.50457,0.757703,0.757703,0.757703,0.189084,0.189084,0.189084,-0.907778,-0.907778,-0.907778
13,-1.42801,-1.42801,-1.42801,0.772073,0.772073,0.772073,0.0983065,0.0983065,0.0983065,-0.806092,-0.806092,-0.806092
14,-1.35044,-1.35044,-1.35044,0.777873,0.777873,0.777873,0.0176973,0.0176973,0.0176973,-0.703725,-0.703725,-0.703725
15,-1.27269,-1.27269,-1.27269,0.776124,0.776124,0.776124,-0.0526752,-0.0526752,-0.0526752,-0.604146,-0.604146,-0.604146
16,-1.19544,-1.19544,-1.19544,0.767836,0.767836,0.767836,-0.11309,-0.11309,-0.11309,-0.509621,-0.509621,-0.509621
17,-1.1193,-1.1193,-1.1193,0.753979,0.753979,0.753979,-0.164052,-0.164052,-0.164052,-0.421548,-0.421548,-0.421548
18,-1.0448,-1.0448,-1.0448,0.735466,0.735466,0.735466,-0.206207,-0.206207,-0.206207,-0.340695,-0.340695,-0.340695
19,-0.972339,-0.972339,-0.972339,0.713142,0.713142,0.713142,-0.240276,-0.240276,-0.240276,-0.267388,-0.267388,-0.267388
20,-0.90227,-0.90227,-0.90227,0.687777,0.687777,0.687777,-0.267015,-0.267015,-0.267015,-0.201638,-0.201638,-0.201638
21,-0.834861,-0.834861,-0.834861,0.660067,0.660067,0.660067,-0.287179,-0.287179,-0.287179,-0.143243,-0.143243,-0.143243
22,-0.770314,-0.770314,-0.770314,0.630633,0.630633,0.630633,-0.301503,-0.301503,-0.301503,-0.09186,-0.09186,-0.09186
23,-0.708774,-0.708774,-0.708774,0.600024,0.600024,0.600024,-0.310689,-0.310689,-0.310689,-0.0470572,-0.0470572,-0.0470572
24,-0.650333,-0.650333,-0.650333,0.56872,0.56872,0.56872,-0.315395,-0.315395,-0.315395,-0.00835129,-0.00835129,-0.00835129
25,-0.595039,-0.595039,-0.595039,0.537138,0.537138,0.537138,-0.31623,-0.31623,-0.31623,0.0247639,0.0247639,0.0247639
26,-0.542902,-0.542902,-0.542902,0.505639,0.505639,0.505639,-0.313753,-0.313753,-0.313753,0.0527983,0.0527983,0.0527983
27,-0.493899,-0.493899,-0.493899,0.474528,0.474528,0.474528,-0.308474,-0.308474,-0.308474,0.0762514,0.0762514,0.0762514
28,-0.447975,-0.447975,-0.447975,0.444062,0.444062,0.444062,-0.300849,-0.300849,-0.300849,0.0956035,0.0956035,0.0956035
