# Solve Time (ms): 0.652
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,-1.866071845277186e-17,-9.535305666878986e-18,1.4203820783429173e-06,-9.02563035063384e-19,7.270066075361673e-20,7.114563841452954e-08,6.313426232502585e-16,2.8823794214252675e-16,4.649597759323176e-07,-2.3922050164576528e-18,1.2978215480627075e-18,-3.948367063388289e-07,-0.9915419718477471,1.73151106972671,-0.9915419718477467,1.7315110697266871
1,-1.6442653295556852e-15,3.625819834873433e-17,0.08278304265624672,-1.594835139068321e-17,2.2435504191832043e-19,0.015687380565454018,-3.1920921707339164e-14,1.1349540448211904e-15,1.6605184332972402,-5.394269496544339e-16,-7.139491290534946e-18,0.31182214676787046,-0.9915733325515469,0.5838136846470908,-0.9915733325515473,0.5838136846471447
2,-9.307239441912958e-16,1.2782162050381386e-16,0.29672700379783157,-1.6921487333542973e-16,-3.8101179404842834e-18,0.03797562199232611,4.667149882011401e-14,5.797085403965809e-16,2.6211895484734646,-2.416893379607923e-15,-8.644234347112408e-17,0.13519007075587827,-0.43740232580568716,0.01993673913213869,-0.4374023258057071,0.01993673913210879
3,1.5683510552420114e-15,-1.2317037537811568e-15,0.572749157637154,-3.929325299743895e-16,-9.519430333194507e-18,0.04253624202154282,3.274972474768025e-15,-2.7069046668333918e-14,2.900074993471362,-1.7234659727765308e-15,2.0928122123010732e-16,-0.04281197767761766,0.7501319704095166,-0.7732175130417891,0.7501319704095478,-0.7732175130417895
4,1.8541032119855894e-15,-1.677409615224771e-15,0.816446846295051,-4.834631428200016e-16,9.606878140601148e-17,0.0377999275838695,2.2630920654105412e-15,1.7381120121648036e-14,1.9711365574076363,-2.592046071838447e-17,1.99228306090303e-15,-0.05188102136667976,0.8327707651415334,-0.8215924361962367,0.8327707651415438,-0.8215924361962571
5,6.159951603837027e-16,8.232943796035498e-16,0.9632679077318823,-4.0122103175201723e-16,3.431651117280631e-16,0.032890356174299494,-2.7486641880570037e-14,3.2444903154571646e-14,0.9623059413144899,1.4371917464468499e-15,2.5089230352901904e-15,-0.046371589590800115,0.5635965965663763,-0.5510191072004452,0.5635965965663465,-0.5510191072004249
6,-6.540513318717911e-16,1.899276468152148e-15,1.0256142295684259,-2.6115611923795967e-16,5.181687429871349e-16,0.028556975627299606,2.1072376383340365e-15,-1.097260078286788e-14,0.28261333502320235,1.1539724548274827e-15,7.927775435547268e-16,-0.040357383400675566,0.2749908233460482,-0.26380734100604913,0.27499082334604935,-0.26380734100605036
7,-5.184600742873292e-16,8.900207964931998e-16,1.0374960940720808,-1.7550394467429757e-16,5.208415435477601e-16,0.024790643529687576,3.469368703453568e-16,-9.129183905646254e-15,-0.04594573419088123,6.119215939661835e-16,-5.681245407563342e-16,-0.03502321880843095,0.08201397543054484,-0.07227987991622253,0.08201397543054613,-0.07227987991622022
8,-3.166178014566211e-16,7.407525072879795e-17,1.0282109371745296,-1.3865466787017768e-16,4.3489759109352808e-16,0.021522726620137936,3.7435465161676274e-15,-7.26260846288032e-15,-0.14003405985769293,1.7024478862145835e-16,-1.0122821141434773e-15,-0.030381961499522506,-0.010585498197747206,0.019040199103944284,-0.01058549819774308,0.019040199103943417
9,-6.066272037376112e-18,-3.52648382231358e-16,1.015108093764034,-1.3215751393638455e-16,3.3982043271017906e-16,0.018688093831385963,2.4351779406369313e-15,-1.276920297788754e-15,-0.12196822376485589,2.0273742067618946e-17,-8.157535432082155e-16,-0.026351307250498928,-0.03674816228506622,0.04409129553573557,-0.036748162285063474,0.04409129553573338
10,7.606318978599074e-17,-2.8098250018870334e-16,1.0053687542709722,-1.2823576266359362e-16,2.7647085814184595e-16,0.0162297327733073,-7.931035510977252e-16,2.711379166606091e-15,-0.07267222490832227,8.039032994307357e-17,-4.627336912024804e-16,-0.022851131742090827,-0.03145988592173899,0.03783909877876801,-0.0314598859217401,0.03783909877876859
11,3.7752983259638024e-17,-9.055348814462481e-17,1.0002082123706593,-1.1792816754784743e-16,2.405294403020269e-16,0.014098151343603465,3.300674239519814e-17,1.1218131628810547e-15,-0.030413603846604565,1.2448267295298924e-16,-2.885354527653427e-16,-0.019811048228733145,-0.01764395236129942,0.023187670760576706,-0.017643952361299776,0.023187670760576238
