# Solve Time (ms): 2.011708
k,x0,x1,x2,x3,x4,x5,x6,x7,u0,u1,u2,u3
0,1.0000001014378321,0.9999996891094229,-0.9999996891094269,-1.0000001014378312,4.065031475111265e-08,-6.030812162418043e-08,6.030812030289873e-08,-4.065031486374014e-08,0.6819684100435751,1.0000573311422203,-1.0000573311422107,-0.6819684100435635
1,1.0000001977892403,0.9999994312376729,-0.9999994312376802,-1.0000001977892405,-0.1590160104683214,-0.499970818296492,0.4999708182964992,0.1590160104683236,-0.1147144374569984,1.0001006005756594,-1.0001006005756756,0.1147144374570388
2,0.920492212956149,0.7500139458351471,-0.7500139458351507,-0.9204922129561457,-0.7084229170085059,-0.9749209261411123,0.974920926141117,0.7084229170085239,0.8435917544964978,1.0000813314014827,-1.000081331401495,-0.8435917544964585
3,0.566280736460065,0.2625535257892805,-0.262553525789283,-0.5662807364600512,-0.7966911330492683,-1.0909089464395898,1.0909089464395934,0.796691133049302,1.000011639275349,1.0000361454012487,-1.0000361454012516,-1.0000116392753384
4,0.16793514543378094,-0.2829008576782917,0.2829008576782905,-0.16793514543375074,-0.6918547188803426,-0.6470353113312339,0.6470353113312434,0.691854718880364,1.0000147123220353,0.4326372777207434,-0.4326372777208401,-1.0000147123220333
5,-0.17799222369638676,-0.6064184368947572,0.60641843689476,0.17799222369642742,-0.4666401865824748,0.10995394925045074,-0.10995394925047482,0.46664018658246603,1.000008967629261,-1.0000230359152997,1.000023035915296,-1.000008967629264
6,-0.4113123088583497,-0.5514414257626067,0.5514414257625966,0.4113123088583861,-0.06852067937237093,0.425076254674364,-0.4250762546743702,0.06852067937232198,0.35109978368540307,-1.0000231230876797,1.0000231230876797,-0.35109978368525263
7,-0.4455726319821123,-0.3389032978060669,0.3389032978060546,0.4455726319821238,0.246046842702246,0.5253168418759667,-0.5253168418759491,-0.24604684270225888,-0.3861235060198993,-1.0000127083044485,1.000012708304449,0.3861235060199671
8,-0.32254919587130704,-0.07624489367338874,0.07624489367338559,0.32254919587131237,0.31680372592415773,0.28461326385265534,-0.28461326385262675,-0.3168037259241541,-0.6647873516025018,-0.367718991632052,0.36771899163195665,0.6647873516024835
9,-0.1641473252142307,0.06606172155335237,-0.06606172155334122,0.16414732521423786,0.25299660701791943,0.03961584550484768,-0.039615845504863884,-0.2529966070179321,-0.5858451573601384,0.169852190095917,-0.16985219009592065,0.5858451573601454
10,-0.03764902071508195,0.0858696349882303,-0.08586963498822732,0.037649020715082554,0.1446023794632983,-0.05860509396757652,0.05860509396755735,-0.14460237946330848,-0.34328765059937844,0.2776227351135623,-0.27762273511352065,0.3432876505993846
11,0.034652166237973264,0.05656708550881988,-0.05656708550882643,-0.03465216623797778,0.04631227112691703,-0.06449243143102038,0.064492431431022,-0.04631227112692254,-0.10583318256398322,0.18287172297204793,-0.18287172297205032,0.10583318256399343
12,0.05780829821610416,0.02432087084561662,-0.024320870845622497,-0.05780829821611135,-0.0152885575641572,-0.03735649165648503,0.037356491656486274,0.015288557564158369,0.04261659729243053,0.061531730582256215,-0.061531730582251996,-0.0426165972924282
13,0.050164016783064765,0.0056426267998299145,-0.005642626799835181,-0.0501640167830713,-0.03886369316220385,-0.012299958369080825,0.012299958369083484,0.038863693162210375,0.09503087164324943,-0.009937699308779491,0.00993769930878185,-0.09503087164325558
14,0.030732168940101338,-0.0005073512319894872,0.0005073512319855318,-0.030732168940104627,-0.03674777514800357,-3.574203812348695e-05,3.574203812655974e-05,0.03674777514801065,0.08447636553869692,-0.027808374426472205,0.027808374426470713,-0.08447636553870719
15,0.01235828117210457,-0.0005252219146801134,0.0005252219146776934,-0.01235828117210433,-0.023658047470469817,0.0021889688833697245,-0.0021889688833672686,0.02365804747047281,0.04985744399939655,-0.017257113585628044,0.0172571135856248,-0.049857443999398246
