# Solve Time (ms): 21.62425
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-99.99999995298784,-9.809333757400537e-09,0.0,3.4136823991997695e-07,0.10000001636820947,0.0,1.00052849989296,1.000012061729889,0.0
1,-99.99998833034894,3.000000186957046,0.0,0.055742347900467386,0.1600007242847033,0.0,1.000447048742583,0.24151923429103458,0.0
2,-98.32771653620284,7.800021621216195,0.0,0.11543946981732214,0.17081288350380774,0.0,1.000367004397455,-1.0000063170569848,0.0
3,-94.86453111526242,12.924407831812463,0.0,0.17602745723222013,0.10319349594095016,0.0,1.000289574489572,-1.0000084701159935,0.0
4,-89.58370611786225,16.020212427635656,0.0,0.2325250168793263,0.031575170821519866,0.0,1.0002162972165705,-1.000007338701188,0.0
5,-82.60795439903603,16.967467295747802,0.0,0.28486641130937157,-0.04377192471722356,0.0,1.0001489384350155,-1.0000042520960948,0.0
6,-74.06196094255087,15.65430933921075,0.0,0.33299047761280676,-0.12257336536650473,0.0,1.000089391306109,-0.17357870215198376,0.0
7,-64.07224562332574,11.97710822253463,0.0,0.3768407014037654,-0.15496545946293488,0.0,1.0000395804192852,1.000001151791496,0.0
8,-52.767023750446086,7.328144362481983,0.0,0.4196379104830751,-0.11983687600419475,0.0,0.05870180169399894,1.000002061024157,0.0
9,-40.17788580045031,3.7330380653327397,0.0,0.40950445674760555,-0.08753285328243064,0.0,-1.0000223980528766,1.0000020791988304,0.0
10,-27.892751696380813,1.1070524910374187,0.0,0.3393505602626888,-0.054560021513484894,0.0,-1.0000349081111226,1.0000013696584429,0.0
11,-17.712234678183556,-0.529748104336956,0.0,0.27270996418132276,-0.01695707554562028,0.0,-1.0000384407212057,0.5729618142298303,0.0
12,-9.530935693038025,-1.0384603129755718,0.0,0.20965960690563692,-0.0005782240876678196,0.0,-1.000035310482508,0.32924628990280086,0.0
13,-3.2411475375577568,-1.0558069910303858,0.0,0.14858138684991273,0.005339019297868751,0.0,-1.0000277689095156,0.2216199906978153,0.0
14,1.2162939427204071,-0.8956363809418506,0.0,0.08857911949819554,0.008829847234597366,0.0,-1.0000180964386285,0.11353432307153923,0.0
15,3.873667366978205,-0.6307409444164281,0.0,0.02929324792306809,0.009795684773335653,0.0,-1.0000086058694284,-0.008150954509813221,0.0
16,4.752464647006765,-0.33687039158006926,0.0,-0.029638915668829362,0.007373273176373401,0.0,-0.999652923634535,-0.1068638565605515,0.0
17,3.8632970612934043,-0.11567219327411363,0.0,-0.08861391257491621,0.0029176102141850262,0.0,0.8300873088101852,-0.12080376524240678,0.0
18,1.2048796500643888,-0.028143886294832537,0.0,-0.0381953985175728,0.0015179024952139356,0.0,0.5267104709044379,-0.06490166152493296,0.0
19,0.05901769378216199,0.017393187930164294,0.0,-0.006361377085733707,0.000144699078613682,0.0,0.13991820041143277,-0.015603113722869771,0.0
20,-0.13182361463545778,0.02173415962614387,0.0,0.00204969218166591,-0.00037163686706974603,0.0,-0.003278826531886347,0.003715027244946273,0.0
21,-0.07033284711560349,0.01058505331208007,0.0,0.0018140789722290256,-0.00028401491671929284,0.0,-0.019989479999281863,0.005135533051284739,0.0
22,-0.015910477517610776,0.0020646057598655227,0.0,0.0005883059340700712,-9.561214408374074e-05,0.0,-0.009018210812755233,0.0022287086241297785,0.0
