# Solve Time (ms): 1.3880430000000001
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,2.468801576125689e-18,4.250037965359212e-18,-6.117225224333176e-15,1.806935740886997e-18,-1.1203654805320997e-18,4.407114107771382e-15,4.108999326305183e-19,1.5797859326034694e-18,-1.1897166500719837e-15,1.6268706398524423e-18,-1.2871558429245334e-18,1.593298739789072e-15,-0.9915973017140308,1.735797388413117,-0.9915973017140308,1.7357973884131168
1,-2.2116304139166377e-17,4.86812558044538e-18,0.08291279857985384,3.759868648869779e-18,-2.5877051381762144e-18,0.01577704183802952,-1.766905491876884e-16,-7.424691418594099e-17,1.6631652820395326,-1.4731760486646988e-18,-8.163054241307864e-18,0.3136059165349976,-0.9915804752407682,0.5842497184759579,-0.9915804752407682,0.5842497184759581
2,-2.058894229453998e-17,-4.665409151767436e-18,0.2971345646727918,4.2416566930040765e-18,-4.657380394523625e-18,0.03825133671489146,2.9273685598170774e-16,-1.1668677456237985e-16,2.6241065341679923,-2.2895951316304956e-17,-1.2662568491924001e-17,0.1371272045196681,-0.4341237424622321,0.018344409594389665,-0.4341237424622323,0.018344409594389956
3,2.8388109210852916e-17,-2.8787504436578224e-17,0.5733002499121101,3.4175464911345536e-18,-6.4511341493262624e-18,0.04303983354644812,7.222386313524602e-16,-4.1304703520159914e-16,2.9000216132921204,-2.0281160979512282e-17,2.239778003259452e-18,-0.040193965300443724,0.7529389576329062,-0.7754937232735283,0.7529389576329067,-0.7754937232735287
4,6.651934648914856e-17,-2.1681882852472228e-17,0.8168380577417658,5.501524346513373e-18,-5.68609184522734e-18,0.038574431157066415,1.5705909870002588e-16,6.791215748550331e-16,1.9679833644753764,3.4637665265099834e-17,3.39974468800706e-17,-0.04907955647577516,0.8321670339709015,-0.8199169171393996,0.8321670339709015,-0.819916917139402
5,-7.09822582328627e-17,4.231873335101507e-17,0.9634130420755502,1.2696438976322123e-17,-3.577959680677906e-18,0.03396544163150048,-2.88625232395869e-15,7.921295083296155e-16,0.9605425710883142,5.421623675630187e-17,1.92040267318726e-17,-0.04316153207325393,0.5630204367695443,-0.550050397213604,0.5630204367695428,-0.5500503972136003
6,-8.77142829303595e-17,1.497113163557868e-17,1.0256299458312943,1.3228515047327675e-17,-5.316857669177916e-18,0.029958782488422455,2.6189006578452993e-15,-1.231284564668235e-15,0.2817919765253919,-7.177334344732737e-17,-2.9224302730627454e-17,-0.0370312698104523,0.27466281903330225,-0.2626417785674849,0.2746628190333032,-0.2626417785674866
7,5.1743292115284883e-17,-3.939783940901731e-17,1.0374750837167697,5.430560975544511e-18,-8.645538399243576e-18,0.026540126581103392,1.186020938137575e-16,1.5605234180239678e-16,-0.04585636709156893,-7.141136260996706e-17,-6.740575025541682e-18,-0.03139532180307617,0.08239454903537838,-0.07160840030950012,0.08239454903537853,-0.07160840030950034
8,5.0500433148184046e-17,-1.3257137401529261e-17,1.0282077573475286,1.2279554994455692e-18,-8.519665508245754e-18,0.023654377011229022,-1.872335819697639e-16,3.8644858588363604e-16,-0.13976736560207592,-1.8535392803870964e-17,2.1457455557181326e-17,-0.026366550774223826,-0.00970708263770806,0.01942306803164462,-0.00970708263770827,0.019423068031644446
9,1.973582124025941e-17,1.0087583702216683e-17,1.0151165773676694,1.8515837660004862e-18,-6.772258859959114e-18,0.02124479406477935,-4.363054704277586e-16,7.9024500545162e-17,-0.12200379972390464,1.8999792589893823e-17,2.0735655600679102e-17,-0.021866189647296093,-0.03572550539801042,0.04456043449434913,-0.035725505398010525,0.04456043449434926
