# Solve Time (ms): 4.583124
k,x0,x1,x2,x3,x4,x5,x6,x7,u0,u1,u2,u3
0,1.0,1.0000000000000002,-1.0000000000000002,-1.0,-2.4989810963976946e-17,4.246962948307898e-17,-4.246963030996595e-17,2.4989810301635774e-17,0.6821411889619121,0.999999998889529,-0.999999998889529,-0.6821411889619123
1,1.0,1.0000000000000004,-1.0000000000000004,-1.0,-0.15892940551904383,-0.5000000005552357,0.5000000005552355,0.15892940551904372,-0.11509827184580905,0.9999999997624073,-0.9999999997624073,0.11509827184580906
2,0.9205352972404781,0.7499999997223824,-0.7499999997223825,-0.9205352972404781,-0.7085320711659958,-0.9750000006462709,0.9750000006462709,0.7085320711659958,0.8436477123900137,0.9999999998635553,-0.9999999998635553,-0.8436477123900135
3,0.5662692616574801,0.26249999939924695,-0.2624999993992471,-0.5662692616574801,-0.796816908791976,-1.0909823516455148,1.0909823516455148,0.7968169087919761,0.9999999887635954,0.9999999943020798,-0.9999999943020798,-0.9999999887635954
4,0.1678608072614921,-0.2829911764235105,0.2829911764235104,-0.1678608072614921,-0.691995330928436,-0.6470486051823297,0.6470486051823297,0.691995330928436,0.9999999932396695,0.43244556224670705,-0.4324455622467071,-0.9999999932396695
5,-0.17813685820272593,-0.6065154790146753,0.6065154790146753,0.1781368582027259,-0.46675196323542695,0.10994377446615221,-0.10994377446615217,0.46675196323542684,0.9999999381729882,-0.9999999976944457,0.9999999976944457,-0.9999999381729882
6,-0.4115128398204394,-0.5515435917815992,0.5515435917815992,0.4115128398204393,-0.06853527729177318,0.42515137631627176,-0.4251513763162717,0.06853527729177313,0.35111761951701664,-0.9999999999481245,0.9999999999481245,-0.3511176195170166
7,-0.445780478466326,-0.33896790362346335,0.33896790362346335,0.4457804784663259,0.2461913402609636,0.525452775288575,-0.525452775288575,-0.2461913402609635,-0.38641693464694526,-0.9999999442725458,0.9999999442725458,0.3864169346469451
8,-0.32268480833584423,-0.07624151597917578,0.07624151597917578,0.3226848083358442,0.31696983257903716,0.2847417805899055,-0.28474178058990546,-0.31696983257903705,-0.665151231012811,-0.36783816302458394,0.36783816302458394,0.6651512310128109
9,-0.16419989204632568,0.06612937431577698,-0.06612937431577696,0.16419989204632565,0.25310977578993604,0.0396054798489598,-0.0396054798489598,-0.25310977578993604,-0.5861262964387784,0.1700198104437491,-0.17001981044374906,0.5861262964387784
10,-0.037645004151357644,0.08593211424025689,-0.08593211424025686,0.03764500415135765,0.14465571798526425,-0.05865889641844196,0.058658896418441936,-0.14465571798526422,-0.34342918864733096,0.277817096057255,-0.277817096057255,0.3434291886473309
11,0.034682854841274466,0.0566026660310359,-0.0566026660310359,-0.03468285484127445,0.04631939903382162,-0.06453807700495649,0.06453807700495649,-0.046319399033821616,-0.1058561803398231,0.18298762851360245,-0.18298762851360248,0.1058561803398231
12,0.05784255435818528,0.024333627528557656,-0.024333627528557656,-0.057842554358185264,-0.015306182913537515,-0.037379930523824045,0.03737993052382405,0.015306182913537511,0.042658376846026254,0.06156747413414316,-0.06156747413414318,-0.04265837684602623
13,0.05018946290141652,0.005643662266645627,-0.005643662266645624,-0.050189462901416515,-0.03888742593875397,-0.012306361044305113,0.012306361044305117,0.03888742593875396,0.09508805020661487,-0.009945472570017985,0.009945472570017974,-0.09508805020661483
14,0.03074574993203954,-0.0005095182555069303,0.0005095182555069353,-0.030745749932039535,-0.03676666130660254,-3.454122635902798e-05,3.454122635902613e-05,0.03676666130660254,0.08452046477891423,-0.02782614743666152,0.027826147436661515,-0.08452046477891419
15,0.012362419278738268,-0.0005267888686864444,0.0005267888686864487,-0.012362419278738268,-0.02366860491160832,0.0021912644659083345,-0.0021912644659083363,0.02366860491160832,0.049880422942767004,-0.017268358286624767,0.017268358286624767,-0.04988042294276699
16,0.0005281168229341076,0.000568843364267723,-0.0005688433642677198,-0.0005281168229341074,-0.010170776907725897,0.0004189150416993382,-0.00041891504169934093,0.010170776907725896,0.017560973823917872,-0.0020668699041883902,0.0020668699041883933,-0.017560973823917872
17,-0.004557271630928842,0.0007783008851173922,-0.0007783008851173904,0.004557271630928842,-0.001125446291180913,-0.0012246722974143527,0.0012246722974143503,0.001125446291180913,-0.001885553310084522,0.006314021119794562,-0.006314021119794559,0.0018855533100845209
18,-0.005119994776519298,0.00016596473641021606,-0.00016596473641021536,0.005119994776519298,0.00293447144182341,-0.001452515265786862,0.001452515265786861,-0.002934471441823409,-0.00887963063398258,0.00696969300914119,-0.0069696930091411894,0.008879630633982578
19,-0.0036527590556075934,-0.0005602928964832149,0.000560292896483215,0.0036527590556075934,0.0035509096974653555,-0.0007039874908018963,0.0007039874908018955,-0.0035509096974653555,-0.008325226255215397,0.00366132230205661,-0.003661322302056609,0.008325226255215395
20,-0.0018773042068749156,-0.000912286641884163,0.0009122866418841628,0.0018773042068749156,0.002583363692350376,0.00017593285168752905,-0.0001759328516875294,-0.0025833636923503762,-0.005067798253078286,0.00014058798617946097,-0.0001405879861794606,0.005067798253078286
21,-0.0005856223606997276,-0.0008243202160403986,0.0008243202160403983,0.0005856223606997278,0.0013414572671265482,0.0006672080615816696,-0.0006672080615816697,-0.0013414572671265482,-0.002031743430816182,-0.0017598095734951578,0.0017598095734951574,0.002031743430816182
22,8.510627286354634e-05,-0.0004907161852495637,0.0004907161852495634,-8.510627286354642e-05,0.00043197494104165823,0.0006976120154657412,-0.0006976120154657408,-0.0004319749410416581,-0.00023415041914757716,-0.001973524833942753,0.0019735248339427525,0.00023415041914757732
23,0.0003010937433843755,-0.0001419101775166931,0.00014191017751669292,-0.00030109374338437554,-3.716338107254151e-05,0.0004545964120271965,-0.00045459641202719625,3.7163381072541554e-05,0.0004408467300976206,-0.0012649486397356715,0.0012649486397356712,-0.00044084673009762044
24,0.00028251205284810475,8.538802849690513e-05,-8.538802849690521e-05,-0.00028251205284810475,-0.0001869306791128262,0.00016280440952522824,-0.00016280440952522814,0.00018693067911282625,0.00048192308466306073,-0.00041595897649120676,0.0004159589764912066,-0.0004819230846630607
25,0.00018904671329169161,0.00016679023325951928,-0.0001667902332595193,-0.00018904671329169164,-0.00017644064142530668,-4.014131551794194e-05,4.0141315517941995e-05,0.00017644064142530668,0.00031098892358902356,0.00014425589700267828,-0.0001442558970026783,-0.00031098892358902356
26,0.00010082639257903827,0.00014671957550054833,-0.0001467195755005483,-0.00010082639257903829,-0.00011777574422146149,-0.00012166829448413884,0.00012166829448413884,0.00011777574422146149,0.0001503765790139921,0.000341156090698821,-0.000341156090698821,-0.00015037657901399216
27,4.1938520468307535e-05,8.58854282584789e-05,-8.588542825847889e-05,-4.193852046830754e-05,-6.416527233215647e-05,-0.00011467300137182471,0.0001146730013718247,6.416527233215648e-05,6.100729011384987e-05,0.00029429581290887745,-0.00029429581290887745,-6.1007290113849916e-05
28,9.855884302229299e-06,2.8548927572566538e-05,-2.8548927572566528e-05,-9.8558843022293e-06,-2.9449169997691795e-05,-6.965032700235934e-05,6.96503270023593e-05,2.9449169997691805e-05,2.6266844837820882e-05,0.000158844509864062,-0.000158844509864062,-2.6266844837820913e-05
29,-4.8687006966166e-06,-6.276235928613127e-06,6.276235928613132e-06,4.868700696616603e-06,-1.0424709594842795e-05,-2.4641004927945493e-05,2.4641004927945496e-05,1.0424709594842799e-05,1.4876912536226426e-05,3.959861757749699e-05,-3.9598617577496984e-05,-1.4876912536226436e-05
30,-1.0081055494037997e-05,-1.8596738392585875e-05,1.859673839258588e-05,1.0081055494038003e-05,-7.344351146774039e-07,3.37035765181167e-06,-3.370357651811671e-06,7.344351146774028e-07,7.75289288495005e-06,-2.4928970790732625e-05,2.4928970790732628e-05,-7.752892884950046e-06
31,-1.04482730513767e-05,-1.691155956668004e-05,1.6911559566680045e-05,1.0448273051376705e-05,3.96141938127655e-06,1.3591934215714593e-05,-1.3591934215714595e-05,-3.9614193812765535e-06,-4.5417158410257774e-08,-4.0908299089583045e-05,4.0908299089583045e-05,4.541715841026405e-08
32,-8.467563360738424e-06,-1.0115592458822747e-05,1.0115592458822748e-05,8.467563360738426e-06,5.733133101044273e-06,1.2601390784469053e-05,-1.2601390784469051e-05,-5.733133101044276e-06,-6.582673661176782e-06,-3.083566356546488e-05,3.083566356546488e-05,6.582673661176787e-06
33,-5.600996810216288e-06,-3.814897066588221e-06,3.814897066588223e-06,5.60099681021629e-06,5.564906746730717e-06,7.493096470378064e-06,-7.493096470378065e-06,-5.56490674673072e-06,-9.521337971399489e-06,-1.4589661901026788e-05,1.4589661901026788e-05,9.521337971399494e-06
34,-2.8185434368509295e-06,-6.834883139918869e-08,6.834883139918964e-08,2.81854343685093e-06,4.219540700616614e-06,2.7454578911199556e-06,-2.7454578911199564e-06,-4.219540700616616e-06,-8.676778882764737e-06,-2.645197741441599e-06,2.6451977414415996e-06,8.67677888276474e-06
35,-7.087730865426221e-07,1.3043801141607891e-06,-1.304380114160789e-06,7.087730865426221e-07,2.4545432453547506e-06,-2.116234548352306e-08,2.116234548352257e-08,-2.454543245354751e-06,-5.607536903639588e-06,2.712253914636213e-06,-2.7122539146362134e-06,5.607536903639588e-06
36,5.184985361347533e-07,1.2937989414190277e-06,-1.2937989414190275e-06,-5.184985361347534e-07,8.890107748902361e-07,-9.74933985403735e-07,9.749339854037346e-07,-8.890107748902361e-07,-2.22985829353938e-06,3.397621820828293e-06,-3.397621820828293e-06,2.22985829353938e-06
37,9.630039235798714e-07,8.063319487171602e-07,-8.063319487171602e-07,-9.630039235798714e-07,-1.419679760492051e-07,-9.08825519780566e-07,9.088255197805662e-07,1.4196797604920532e-07,1.9297728194372868e-07,2.1319384711758946e-06,-2.131938471175894e-06,-1.9297728194372907e-07
38,8.920199355552687e-07,3.5191918882687717e-07,-3.5191918882687717e-07,-8.920199355552687e-07,-5.982188854961717e-07,-5.254109694893954e-07,5.254109694893953e-07,5.982188854961717e-07,1.3063115861766803e-06,7.609947350098227e-07,-7.609947350098224e-07,-1.3063115861766807e-06
39,5.929104928071828e-07,8.921370408217949e-08,-8.921370408217949e-08,-5.929104928071828e-07,-6.312124892748531e-07,-2.005118689726956e-07,2.0051186897269557e-07,6.312124892748531e-07,1.394535674372172e-06,-1.1219141116838652e-08,1.1219141116838636e-08,-1.394535674372172e-06
40,2.773042481697564e-07,-1.1042230404168312e-08,1.104223040416829e-08,-2.773042481697564e-07,-4.5068766839111755e-07,-3.3461155802157927e-08,3.3461155802157874e-08,4.5068766839111755e-07,9.65979074864707e-07,-2.16944363723372e-07,2.169443637233721e-07,-9.659790748647072e-07
41,5.1960413974197606e-08,-2.777280830524728e-08,2.777280830524723e-08,-5.196041397419757e-08,-2.2798911091104867e-07,1.4955189817394627e-08,-1.495518981739459e-08,2.2798911091104867e-07,4.489287855298274e-07,-1.39580811281535e-07,1.395808112815348e-07,-4.4892878552982744e-07
