# Solve Time (ms): 4.5817499999999995
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100.00000000000082,1.5818974217577877e-13,0.0,-5.760035002329633e-12,0.09999999999971301,0.0,0.9999999660027405,0.9999952103181065,0.0
1,-100.0000000001975,2.999999999996294,0.0,0.05570999794941821,0.15999971261906112,0.0,0.9999999563153222,0.24098891750798193,0.0
2,-98.32870006173827,7.799991378572894,0.0,0.11537997635698943,0.1707821878048763,0.0,0.9999999237445583,-0.9999824525365655,0.0
3,-94.86730077105119,12.923457012723988,0.0,0.1759436007366398,0.10316816221318335,0.0,0.9999998687577919,-0.999982156526893,0.0
4,-89.58899274897365,16.018501879124145,0.0,0.23242164251151975,0.03155695517303525,0.0,0.9999997246337616,-0.9999693504010274,0.0
5,-82.61634347364833,16.965210534319475,0.0,0.28474814371859836,-0.04378103425671413,0.0,0.9999994565701741,-0.9999168113432214,0.0
6,-74.07389916210894,15.65177950662167,0.0,0.3328616430462071,-0.12256942042269292,0.0,0.9999988515037499,-0.16590198689602625,0.0
7,-64.08804987073913,11.974696893943532,0.0,0.37670534476895284,-0.15449240807749665,0.0,0.9999975699936545,0.998688921370174,0.0
8,-52.78688952768427,7.339924651619955,0.0,0.4195295114041664,-0.11943362555004958,0.0,0.06081822080373889,0.9981726524991581,0.0
9,-40.20100418556987,3.7569158851187634,0.0,0.4095474930965096,-0.08723221415279649,0.0,-0.9999939643484458,0.9948248315750645,0.0
10,-27.914579392681517,1.139949460534424,0.0,0.3394126397459278,-0.05457285880268307,0.0,-0.9999951636335267,0.9686997387626475,0.0
11,-17.732200200307567,-0.49723630354697357,0.0,0.27277122355142314,-0.01885210870016863,0.0,-0.9999944982637827,0.6090408689038762,0.0
12,-9.549063493766278,-1.0627995645530615,0.0,0.20959627787996543,-0.00031255732033454116,0.0,-0.9999922011458853,0.33079139095172133,0.0
13,-3.261175157366815,-1.072176284163945,0.0,0.14853622401397598,0.005701571796690035,0.0,-0.999986176922552,0.2172208730175397,0.0
14,1.194911563054322,-0.901129130263879,0.0,0.08855821516288137,0.00893143339281958,0.0,-0.9999665263016383,0.11127954069184474,0.0
15,3.8516580179434086,-0.6331861284797276,0.0,0.029279824058151036,0.009763363633579436,0.0,-0.9998459188256078,-0.00795704115302218,0.0
16,4.73005273969077,-0.3402852194725991,0.0,-0.02964710351328519,0.007353472776559429,0.0,-0.9568466589377551,-0.10492785029605999,0.0
17,3.840639634294597,-0.119681036175928,0.0,-0.08605747110289554,0.0030145105906723905,0.0,0.771058676672167,-0.11955670288118957,0.0
18,1.2589155012090112,-0.029245718455788782,0.0,-0.03917674714739959,0.0015209015105924816,0.0,0.5316991746746896,-0.06559633126472139,0.0
19,0.08361308678734412,0.01638132686198675,0.0,-0.007037321269141082,0.00017078694643812527,0.0,0.1480307745930881,-0.01655499611152869,0.0
20,-0.12750655128691213,0.021504935255142018,0.0,0.001864902610057563,-0.00035804961648994366,0.0,-0.00017879100580004784,0.0032810597206746474,0.0
21,-0.07155947298524058,0.010763446760452438,0.0,0.0018166584115852688,-0.00028426960551316356,0.0,-0.01959964958538177,0.005083171532681895,0.0
22,-0.017059720637706024,0.0022353585950608728,0.0,0.0006141248158903745,-9.91787687168866e-05,0.0,-0.009247062696508835,0.0022837888694742284,0.0
23,0.0013640238390013497,-0.0007400044664454168,0.0,5.08974517871799e-05,-2.6836743972224978e-06,0.0,-0.0017954365921429463,0.00037771401352791384,0.0
24,0.0028909473926180553,-0.0008205146983625372,0.0,-5.685732405549711e-05,1.661993459648568e-05,0.0,0.00036452088130551973,-0.0001796963383393272,0.0
25,0.0011852276709542798,-0.0003219166604682702,0.0,-3.357433132273121e-05,9.59073768378562e-06,0.0,0.0004072186999837048,-0.0001577590942471664,0.0
26,0.00017799773127270073,-3.4194529954788933e-05,0.0,-8.379149343213445e-06,2.341097896255629e-06,0.0,0.0001445322528008834,-5.420151621411502e-05,0.0
