# Solve Time (ms): 1.031207
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-1.9999999999999998,-1.9999999999999998,-1.9999999999999998,-2.1800278829135653e-18,-2.1846266028514237e-18,-2.1828688988250166e-18,-5.994513328925183e-19,-6.003819822447731e-19,-5.993849164304995e-19,2.6837149280418884,2.6837149280418884,2.6837149280418884
1,-1.9995527141786593,-1.9995527141786593,-1.9995527141786593,0.01341857464020944,0.01341857464020944,0.013418574640209438,0.2683714928041888,0.26837149280418887,0.2683714928041888,1.4332508934666515,1.433250893466652,1.4332508934666517
2,-1.9966301241017064,-1.9966301241017064,-1.9966301241017064,0.04742197838796158,0.04742197838796159,0.04742197838796158,0.411696582150854,0.41169658215085403,0.41169658215085403,0.5827587631368039,0.582758763136804,0.5827587631368041
3,-1.989732316891633,-1.989732316891633,-1.989732316891633,0.09150543041873099,0.09150543041873102,0.09150543041873099,0.4699724584645344,0.46997245846453445,0.4699724584645344,0.02332552908715578,0.0233255290871559,0.02332552908715589
4,-1.9782280239692558,-1.9782280239692558,-1.9782280239692558,0.13861930391062022,0.13861930391062025,0.13861930391062022,0.47230501137324993,0.47230501137325,0.47230501137325,-0.3254416038934965,-0.3254416038934965,-0.3254416038934966
5,-1.9620588087886432,-1.9620588087886432,-1.9620588087886432,0.18422259702847774,0.18422259702847776,0.18422259702847776,0.43976085098390033,0.4397608509839004,0.43976085098390033,-0.5228297131653963,-0.5228297131653965,-0.5228297131653964
6,-1.9415248831164038,-1.9415248831164038,-1.9415248831164038,0.2255845335610408,0.2255845335610408,0.2255845335610408,0.3874778796673607,0.3874778796673607,0.3874778796673607,-0.6125391877803131,-0.6125391877803131,-0.612539187780313
7,-1.9171311302265928,-1.9171311302265928,-1.9171311302265928,0.26126962558887534,0.2612696255888754,0.2612696255888753,0.32622396088932937,0.32622396088932937,0.32622396088932937,-0.6268021429155758,-0.6268021429155759,-0.6268021429155759
8,-1.889477514887078,-1.889477514887078,-1.889477514887078,0.2907580109632304,0.29075801096323045,0.2907580109632304,0.2635437465977718,0.2635437465977718,0.2635437465977718,-0.5894694226066933,-0.5894694226066932,-0.5894694226066932
9,-1.8591822399615339,-1.8591822399615339,-1.8591822399615339,0.31416503850997407,0.3141650385099741,0.31416503850997407,0.20459680433710245,0.20459680433710248,0.20459680433710248,-0.5183428884086067,-0.5183428884086068,-0.5183428884086068
10,-1.826829142570252,-1.826829142570252,-1.826829142570252,0.33203300450164125,0.3320330045016413,0.33203300450164125,0.15276251549624179,0.1527625154962418,0.1527625154962418,-0.4269620136461636,-0.4269620136461636,-0.42696201364616354
11,-1.7929331898782144,-1.7929331898782144,-1.7929331898782144,0.34517444598303465,0.3451744459830347,0.34517444598303465,0.11006631413162542,0.11006631413162545,0.11006631413162546,-0.32600488095587316,-0.3260048809558732,-0.3260048809558732
12,-1.7579197478560789,-1.7579197478560789,-1.7579197478560789,0.3545510529914178,0.35455105299141787,0.3545510529914178,0.0774658260360381,0.07746582603603813,0.07746582603603815,-0.22442912623488867,-0.2244291262348887,-0.22442912623488873
13,-1.7221147182811296,-1.7221147182811296,-1.7221147182811296,0.36117548996384724,0.36117548996384724,0.3611754899638472,0.05502291341254923,0.055022913412549265,0.055022913412549265,-0.13045508119045748,-0.1304550811904575,-0.1304550811904575
14,-1.6857437972312137,-1.6857437972312137,-1.6857437972312137,0.3660255058991499,0.3660255058991499,0.36602550589914984,0.04197740529350349,0.041977405293503516,0.041977405293503516,-0.05247924561359186,-0.052479245613591886,-0.052479245613591886
15,-1.648940106155767,-1.6489401061557671,-1.6489401061557671,0.3699608502004323,0.36996085020043223,0.3699608502004322,0.03672948073214429,0.03672948073214432,0.036729480732144326,0.0,0.0,0.0
