# Solve Time (ms): 4.962208
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-1.9999999999976747,-1.9999999999976747,-1.9999999999976747,9.23846881785406e-12,9.238468817907092e-12,9.238693596330356e-12,2.3409120356055293e-12,2.3409120356264132e-12,2.340923247200707e-12,4.736533780143193,4.736533780143193,4.736533780623163
1,-1.9992105776906754,-1.9992105776906754,-1.9992105776905953,0.023682668918489705,0.023682668918489705,0.023682668920889993,0.47365337801812435,0.47365337801812435,0.47365337806612123,2.690669325706472,2.690669325706472,2.6906693254370615
2,-1.9940255990133648,-1.9940255990133648,-1.9940255990128488,0.08450135335635973,0.08450135335635973,0.08450135336221287,0.7427203105894349,0.742720310589435,0.7427203106104909,1.2685670191008502,1.2685670191008507,1.26856701909719
3,-1.9816504342803938,-1.9816504342803938,-1.9816504342791874,0.16511621951760216,0.16511621951760214,0.16511621952554273,0.8695770124998524,0.8695770124998524,0.8695770125205423,0.30103085003927726,0.3010308500392774,0.3010308502217846
4,-1.9607407554507037,-1.9607407554507037,-1.96074075544857,0.25357907502400234,0.2535790750240024,0.25357907503492466,0.8996800975042986,0.8996800975042986,0.8996800975432391,-0.33694007529234504,-0.33694007529234526,-0.33694007566057904
5,-1.9309406041303252,-1.9309406041303252,-1.9309406041269654,0.3418623844025212,0.3418623844025212,0.3418623844154965,0.8659860899739751,0.8659860899739752,0.8659860899760924,-0.7375995622520112,-0.7375995622520112,-0.7375995624243842
6,-1.8925473684918948,-1.8925473684918948,-1.8925473684872556,0.4247729955927142,0.4247729955927142,0.4247729956050395,0.7922261337481835,0.7922261337481835,0.7922261337330635,-0.9688515542474656,-0.9688515542474655,-0.9688515543216365
7,-1.8462704135136312,-1.8462704135136312,-1.8462704135078474,0.49915135119949783,0.49915135119949783,0.49915135120994053,0.6953409783227142,0.6953409783227144,0.6953409783001772,-1.0805998663132288,-1.0805998663132288,-1.080599866364882
8,-1.7930586734689908,-1.7930586734689908,-1.7930586734622842,0.5632824497020923,0.5632824497020923,0.5632824497100232,0.5872809916903611,0.5872809916903611,0.5872809916626586,-1.1093999403446708,-1.1093999403446708,-1.1093999403577113
9,-1.733978923519223,-1.733978923519223,-1.733978923511864,0.6164635491703372,0.6164635491703372,0.6164635491754328,0.47634099765489835,0.47634099765489835,0.4763409976258918,-1.0819164058930628,-1.0819164058930628,-1.0819164058616777
10,-1.670131183003913,-1.670131183003913,-1.6701311829961838,0.6586880669065905,0.6586880669065905,0.6586880669089425,0.3681493570647014,0.3681493570647014,0.36814935703883334,-1.0175023362030506,-1.0175023362030506,-1.0175023361399775
11,-1.6025912132398732,-1.6025912132398732,-1.6025912132320275,0.6904154909316348,0.6904154909316348,0.6904154909317154,0.26639912344357114,0.2663991234435712,0.2663991234240104,-0.9301090926770573,-0.9301090926770574,-0.930109092603805
12,-1.5323726867008136,-1.5323726867008136,-1.5323726866930454,0.7124048578114252,0.7124048578114252,0.7124048578099159,0.17338821417508304,0.17338821417508304,0.17338821416284744,-0.8297049956455805,-0.8297049956455805,-0.8297049955770637
13,-1.4604035440035827,-1.4604035440035827,-1.4604035439960146,0.7255951542485173,0.7255951542485172,0.7255951542461272,0.09041771460983525,0.09041771460983526,0.09041771460445133,-0.7233296358123598,-0.7233296358123598,-0.7233296357533234
14,-1.387512494933315,-1.387512494933315,-1.3875124949260031,0.7310202775270679,0.7310202775270679,0.7310202775244347,0.018084751028097402,0.01808475102809742,0.01808475102861711,-0.6158785622927707,-0.6158785622927707,-0.6158785622431998
15,-1.3144226898404452,-1.3144226898404452,-1.3144226898333857,0.7297493598138418,0.7297493598138417,0.7297493598115085,-0.04350310520140817,-0.04350310520140814,-0.04350310519593138,-0.5106887585664173,-0.5106887585664174,-0.5106887585248534
16,-1.2417503841659863,-1.2417503841659863,-1.2417503841591258,0.7228456054952285,0.7228456054952284,0.7228456054936507,-0.0945719810579574,-0.09457198105795739,-0.09457198104832425,-0.4099769857570094,-0.4099769857570095,-0.4099769857211139
17,-1.170007013007461,-1.170007013007461,-1.170007013000704,0.7113385224541681,0.7113385224541681,0.7113385224537331,-0.13556967963323788,-0.13556967963323788,-0.13556967962001518,-0.3151701396732944,-0.31517013967329444,-0.3151701396403112
18,-1.0996035375054996,-1.0996035375054998,-1.0996035374987145,0.6962057037854323,0.6962057037854323,0.6962057037864847,-0.1670866935998493,-0.1670866935998493,-0.16708669358332828,-0.22715740681278082,-0.22715740681278085,-0.22715740678087742
19,-1.0308562601523017,-1.0308562601523017,-1.0308562601453237,0.6783612473840575,0.6783612473840575,0.6783612473869215,-0.18980243428017707,-0.18980243428017707,-0.1898024342604657,-0.1464870446476189,-0.14648704464761883,-0.1464870446172322
20,-0.9639935620833462,-0.9639935620833462,-0.9639935620759779,0.6586485687254743,0.6586485687254743,0.6586485687304613,-0.20445113874384996,-0.20445113874384996,-0.2044511387211,-0.07352557231560397,-0.07352557231560393,-0.07352557228958254
21,-0.8991632151583663,-0.8991632151583664,-0.8991632151503814,0.6378358269824408,0.6378358269824409,0.6378358269898331,-0.2118036959742896,-0.21180369597428958,-0.21180369594893747,-0.008593765926315866,-0.008593765926315852,-0.008593765908691032
22,-0.8364400832273522,-0.8364400832273523,-0.8364400832184984,0.6166124885487883,0.6166124885487883,0.616612488558804,-0.21266307256586783,-0.21266307256586783,-0.21266307253875322,0.04790817763119388,0.047908177631193836,0.04790817763700099
23,-0.775834165033295,-0.7758341650332952,-0.775834165023303,0.5955857221744115,0.5955857221744115,0.5955857221871679,-0.2078722548018361,-0.2078722548018361,-0.2078722547741408,0.09537486575992517,0.09537486575992511,0.09537486575253519
24,-0.7172990582743197,-0.7172990582743198,-0.7172990582629148,0.5752753710178341,0.5752753710178341,0.5752753710333229,-0.19833476822511112,-0.19833476822511112,-0.1983347681981548,0.13285780617267168,0.13285780617267168,0.1328578061533052
25,-0.6607410520424178,-0.660741052042418,-0.6607410520293328,0.5561061832217937,0.5561061832217937,0.5561061832398815,-0.18504898760729668,-0.18504898760729668,-0.18504898758227703,0.15890276404030415,0.15890276404030415,0.15890276401246822
26,-0.6060291948616157,-0.6060291948616157,-0.6060291948466012,0.5383957982776771,0.5383957982776771,0.5383957982981277,-0.1691587112028843,-0.16915871120288434,-0.16915871118064824,0.17134755797407034,0.17134755797407025,0.17134755794273004
27,-0.5530068506616351,-0.5530068506616351,-0.5530068506444697,0.5223366649444509,0.5223366649444509,0.5223366649669684,-0.15202395540522617,-0.15202395540522617,-0.15202395538612412,0.167061942975112,0.167061942975112,0.16706194294574125
28,-0.5015054602857798,-0.5015054602857798,-0.5015054602662721,0.5079695791167408,0.5079695791167408,0.5079695791410218,-0.13531776110755608,-0.13531776110755608,-0.1353177610913911,0.1416060568360548,0.14160605683605476,0.14160605681373548
29,-0.4513614901694092,-0.45136149016940913,-0.4513614901473962,0.49514583328881334,0.49514583328881334,0.49514583331459927,-0.12115715542385094,-0.12115715542385094,-0.12115715540991787,0.08877661780424267,0.08877661780424267,0.0887766177926721
30,-0.40243789651433715,-0.40243789651433703,-0.4024378964896777,0.48347400083478165,0.48347400083478176,0.4834740008619031,-0.11227949364336956,-0.11227949364336957,-0.11227949363059354,0.0,0.0,0.0
