# Solve Time (ms): 7.464083
k,x0,x1,x2,x3,x4,x5,x6,x7,u0,u1,u2,u3
0,1.000000000000418,0.9999999999987266,-0.9999999999987266,-1.000000000000418,1.8046163176036332e-13,-3.0156007581253514e-13,3.0156006287431883e-13,-1.8046163468828542e-13,0.6821412054271867,1.0000000000000997,-1.0000000000000997,-0.6821412054271866
1,1.0000000000008413,0.9999999999975949,-0.9999999999975949,-1.0000000000008413,-0.15892939728727537,-0.4999999999979185,0.49999999999791855,0.15892939728727543,-0.11509827346543687,1.0000000000001998,-1.0000000000001998,0.11509827346543738
2,0.9205353013573059,0.7499999999982712,-0.749999999998271,-0.9205353013573059,-0.708532064157704,-0.9749999999934945,0.9749999999934947,0.7085320641577041,0.8436477375251429,1.0000000000001692,-1.0000000000001692,-0.843647737525143
3,0.5662692692783876,0.2625000000016695,-0.2625000000016694,-0.5662692692783876,-0.7968168935454202,-1.0909823493121507,1.0909823493121509,0.7968168935454203,1.0000000000000209,1.0000000000000797,-1.0000000000000797,-1.0000000000000209
4,0.16786082250557413,-0.28299117465404366,0.28299117465404394,-0.16786082250557408,-0.6919953181456496,-0.6470485972096545,0.6470485972096545,0.6919953181456497,1.000000000000029,0.43244553374865524,-0.4324455337486556,-1.000000000000029
5,-0.1781368365672974,-0.6065154732585502,0.6065154732585505,0.17813683656729748,-0.4667519620708903,0.10994377275900363,-0.10994377275900379,0.46675196207089037,1.0000000000000193,-1.000000000000045,1.000000000000045,-1.0000000000000193
6,-0.41151281760271474,-0.5515435868788888,0.551543586878889,0.4115128176027148,-0.06853526402927536,0.4251513757251175,-0.42515137572511763,0.06853526402927551,0.3511176063512258,-1.0000000000000473,1.0000000000000473,-0.3511176063512263
7,-0.4457804496172865,-0.33896789901632135,0.3389678990163215,0.44578044961728663,0.24619132651107542,0.5254527784557197,-0.5254527784557198,-0.24619132651107548,-0.3864169000850738,-1.0000000000000269,1.0000000000000269,0.3864169000850738
8,-0.32268478636168796,-0.07624150978852931,0.07624150978852942,0.3226847863616881,0.3169698102520925,0.28474176324870537,-0.2847417632487054,-0.3169698102520926,-0.6651511860847276,-0.36783814091036526,0.36783814091036526,0.6651511860847278
9,-0.16419988123560944,0.06612937183575283,-0.06612937183575275,0.16419988123560952,0.2531097581645232,0.03960547613302775,-0.03960547613302781,-0.2531097581645233,-0.5861262574387358,0.17001980385496607,-0.17001980385496604,0.5861262574387358
10,-0.03764500215334372,0.0859321099022263,-0.08593210990222626,0.03764500215334378,0.1446557086903958,-0.058658894117563885,0.05865889411756384,-0.14465570869039585,-0.34342916796444495,0.2778170830792571,-0.2778170830792571,0.343429167964445
11,0.03468285219184204,0.056602662843433175,-0.056602662843433155,-0.03468285219184202,0.04631939637810049,-0.06453807380205515,0.06453807380205512,-0.04631939637810052,-0.10585617489673335,0.18298761959952636,-0.18298761959952636,0.1058561748967334
12,0.0578425503808766,0.02433362594241011,-0.024333625942410102,-0.0578425503808766,-0.015306181659298333,-0.03737992848140974,0.03737992848140973,0.015306181659298321,0.04265837342013771,0.06156747108487838,-0.06156747108487838,-0.04265837342013769
13,0.05018945955121586,0.005643661701713177,-0.005643661701713171,-0.05018945955121586,-0.03888742327593314,-0.012306360238074276,0.012306360238074273,0.03888742327593314,0.0950880438907423,-0.00994547212873526,0.00994547212873527,-0.0950880438907423
14,0.030745747913243908,-0.0005095184173187364,0.0005095184173187393,-0.03074574791324391,-0.036766658867120494,-3.45410675005134e-05,3.4541067500509055e-05,0.036766658867120494,0.0845204593603043,-0.027826146186237306,0.027826146186237313,-0.0845204593603043
15,0.01236241847968305,-0.0005267889510674245,0.0005267889510674253,-0.01236241847968305,-0.023668603365512412,0.0021912644753546563,-0.0021912644753546585,0.023668603365512412,0.049880419804844825,-0.01726835762636913,0.01726835762636913,-0.049880419804844825
16,0.0005281167969285467,0.0005688432866092852,-0.0005688432866092855,-0.0005281167969285474,-0.010170776250029498,0.0004189151048441994,-0.0004189151048441991,0.0101707762500295,0.017560972740780365,-0.0020668700081190924,0.002066870008119093,-0.017560972740780365
