# Solve Time (ms): 13.266333
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-99.99999997734189,-4.3831689098501754e-09,0.0,1.5825284675673823e-07,0.1000000077462937,0.0,1.000000243359175,1.0000000056792426,0.0
1,-99.99999456328109,3.0000000965139093,0.0,0.05571030946532467,0.16000000081844382,0.0,1.0000002042865772,0.24081272976803766,0.0
2,-98.32868462810694,7.799999989501938,0.0,0.11538043661467669,0.170771884230389,0.0,1.0000001662541729,-1.000000002985138,0.0
3,-94.86727089920363,12.923156384856092,0.0,0.17594349016981234,0.1031567735652911,0.0,1.0000001299075219,-1.000000003987624,0.0
4,-89.58896559286677,16.017859465694848,0.0,0.23242087186867674,0.0315445007447705,0.0,1.0000000959859225,-1.000000003444534,0.0
5,-82.61633887539988,16.96419437348128,0.0,0.28474663000349365,-0.04379527893156985,0.0,1.0000000652863743,-1.0000000019864126,0.0
6,-74.07393946599535,15.65033590950646,0.0,0.3328592627186873,-0.12258855774187483,0.0,1.0000000386287489,-0.19760938061293684,0.0
7,-64.08816114070886,11.972679107643744,0.0,0.3767017898205052,-0.15641383211580237,0.0,1.0000000168225847,1.0000000005895817,0.0
8,-52.78710708218796,7.280264109843773,0.0,0.419399286569927,-0.12127614987886062,0.0,-0.11105449306578068,1.0000000010350913,0.0
9,-40.20512821567227,3.641979605175008,0.0,0.39898327553230545,-0.08895650215150153,0.0,-1.000000008734664,1.0000000010402366,0.0
10,-28.23562979083966,0.9732845500718978,0.0,0.3287338025187296,-0.0552893976924732,0.0,-1.0000000128610302,1.000000000685588,0.0
11,-18.373615645523458,-0.6853973607408753,0.0,0.26200983422268553,-0.016985828234162927,0.0,-1.0000000129063553,0.5249570354461484,0.0
12,-10.513320617622547,-1.1949721859415054,0.0,0.19888787482324766,-0.0027810550423618243,0.0,-1.0000000100375666,0.4550899088915935,0.0
13,-4.546684420452203,-1.278403823554331,0.0,0.1375594183594878,0.011397739788944018,0.0,-1.000000005385741,0.4626651242573337,0.0
14,-0.4199019469202563,-0.9364716237892883,0.0,0.07781653191708203,0.03007872566406901,0.0,-0.35186469379004154,-0.11004191476804887,0.0
15,1.9145939226450117,-0.034109852501732506,0.0,0.058644117246500906,0.01834031939971992,0.0,0.0,0.0,0.0
